Superpowder Double Face Makeup Foundation	Ulta	232	188	153	https://www.ulta.com/p/superpowder-double-face-makeup-foundation-xlsImpprod10791897?sku=2260624	Clinique	Matte Beige	37.0
Skin by Mented Foundation	Ulta	216	162	126	https://www.ulta.com/p/skin-by-mented-foundation-pimprod2022002?sku=2578478	mented cosmetics	L10	30.0
Pro Filt'r Soft Matte Powder Foundation	Ulta	144	88	37	https://www.ulta.com/p/pro-filtr-soft-matte-powder-foundation-pimprod2031422?sku=2592368	FENTY BEAUTY by Rihanna	445	40.0
Bare With Me Blur Tint Soft Matte Foundation	Ulta	82	47	45	https://www.ulta.com/p/bare-with-me-blur-tint-soft-matte-foundation-pimprod2036633?sku=2601308	NYX Professional Makeup	Espresso	14.0
Shape Tape Cloud CC Cream Broad Spectrum SPF 15 Sunscreen	Ulta	255	236	211	https://www.ulta.com/p/shape-tape-cloud-cc-cream-broad-spectrum-spf-15-sunscreen-pimprod2030161?sku=2590212	Tarte	12N Fair Neutral	40.0
Pore Perfecting Liquid Foundation	Ulta	185	128	85	https://www.ulta.com/p/pore-perfecting-liquid-foundation-pimprod2022248?sku=2578398	BLK/OPL	Truly Topaz	14.25
Double Wear Sheer Long-Wear Foundation SPF 19	Ulta	206	164	140	https://www.ulta.com/p/double-wear-sheer-long-wear-foundation-spf-19-pimprod2027234?sku=2586158	Estée Lauder	1C1 Cool Bone	48.0
Pro Filt'r Soft Matte Powder Foundation	Ulta	224	173	128	https://www.ulta.com/p/pro-filtr-soft-matte-powder-foundation-pimprod2031422?sku=2592414	FENTY BEAUTY by Rihanna	190	40.0
Illusion Hyaluronic Skin Tint	Ulta	222	163	105	https://www.ulta.com/p/illusion-hyaluronic-skin-tint-pimprod2020463?sku=2575951	HOURGLASS	Nude	56.0
Illusion Hyaluronic Skin Tint	Ulta	172	128	101	https://www.ulta.com/p/illusion-hyaluronic-skin-tint-pimprod2020463?sku=2575959	HOURGLASS	Honey	56.0
Illusion Hyaluronic Skin Tint	Ulta	197	137	100	https://www.ulta.com/p/illusion-hyaluronic-skin-tint-pimprod2020463?sku=2575957	HOURGLASS	Golden Tan	56.0
Teint Idôle Ultra 24H Long Wear Matte Foundation	Ulta	211	172	133	https://www.ulta.com/p/teint-idole-ultra-24h-long-wear-matte-foundation-xlsImpprod4700057?sku=2244416	Lancôme	360 Bisque N	57.0
Studio Skin 24 Hour Oil-Free Hydra Foundation Mini	Ulta	200	157	114	https://www.ulta.com/p/studio-skin-24-hour-oil-free-hydra-foundation-mini-pimprod2022194?sku=2578649	Smashbox	2.4	16.0
