Good Apple Full-Coverage Transfer-Proof Vegan Serum Foundation	Sephora	204	178	155	https://www.sephora.com/product/kvd-vegan-beauty-good-apple-full-coverage-transfer-proof-vegan-serum-foundation-P504366?skuId=2646115	KVD Beauty	Medium 027	42.0
10 Hour Wear Perfection Foundation	Sephora	115	81	79	https://www.sephora.com/product/10-hr-wear-perfection-foundation-P379509?skuId=2225795	SEPHORA COLLECTION	19.5 Pink Cream	20.0
Stay-Matte Oil-Free Makeup Foundation	Sephora	237	208	190	https://www.sephora.com/product/stay-matte-oil-free-makeup-P310726?skuId=1411214	CLINIQUE	21 Cream Caramel	34.0
SurrealSkin™ Liquid Foundation	Sephora	236	199	170	https://www.sephora.com/product/makeup-by-mario-surreal-foundation-P503679?skuId=2620292	MAKEUP BY MARIO	7C	42.0
Pure Radiant Tinted Moisturizer Broad Spectrum SPF 30	Sephora	114	67	41	https://www.sephora.com/product/pure-radiant-tinted-moisturizer-spf-30-pa-P302923?skuId=1478452	NARS	Terre Neuve	46.0
Positive Light Tinted Moisturizer Broad Spectrum SPF 20 Sunscreen	Sephora	247	213	185	https://www.sephora.com/product/rare-beauty-by-selena-gomez-positive-light-tinted-moisturizer-broad-spectrum-spf-20-sunscreen-P482729?skuId=2557171	Rare Beauty by Selena Gomez	30N	30.0
Pro Filt’r Soft Matte Longwear Liquid Foundation	Sephora	251	228	187	https://www.sephora.com/product/pro-filtr-soft-matte-longwear-foundation-P87985432?skuId=1925270	Fenty Beauty by Rihanna	250	40.0
Conseal The Deal Long-Wear Full-Coverage Foundation	Sephora	243	213	189	https://www.sephora.com/product/lawless-conseal-deal-long-wear-full-coverage-foundation-P475128?skuId=2531150	LAWLESS	Sienna	39.0
Best Skin Ever Liquid Foundation	Sephora	244	224	200	https://www.sephora.com/product/sephora-collection-best-skin-ever-liquid-foundation-P467140?skuId=2327047	SEPHORA COLLECTION	66.5 N	20.0
Good Apple Lightweight Full-Coverage Cream Foundation Balm	Sephora	209	181	159	https://www.sephora.com/product/kvd-vegan-beauty-good-apple-skin-perfecting-foundation-balm-P469488?skuId=2420156	KVD Beauty	Deep 088	42.5
Good Apple Full-Coverage Transfer-Proof Vegan Serum Foundation	Sephora	204	178	155	https://www.sephora.com/product/kvd-vegan-beauty-good-apple-full-coverage-transfer-proof-vegan-serum-foundation-P504366?skuId=2646263	KVD Beauty	Tan 070	42.0
The Minimalist Perfecting Complexion Foundation and Concealer Stick	Sephora	80	31	16	https://www.sephora.com/product/merit-the-minimalist-perfecting-complexion-foundation-concealer-stick-P468694?skuId=2569127	MERIT	Tiger Eye	38.0
Skin Enhancing Duo: Luminous Skin Tint Serum Foundation & Foundation Brush	Sephora	220	183	165	https://www.sephora.com/product/rose-inc-skin-enhancing-duo-luminous-skint-tint-foundation-brush-P481146?skuId=2566693	ROSE INC	40	59.0
Born This Way Matte Longwear Liquid Foundation	Sephora	250	231	216	https://www.sephora.com/product/too-faced-born-this-way-matte-24-hour-foundation-P458586?skuId=2360147	Too Faced	Porcelain	45.0
